CODIGO_BIP,RATE,FECHA_DETECCION
40005794,FI,2026-09-16
40006083,FI,2026-09-16
40006966,RS,2026-09-16
40008096,FI,2026-09-16
40008405,FI,2026-09-16
40008481,FI,2026-09-16
40013709,RS,2026-09-16
40015334,RE,2026-09-16
40015334,FI,2026-09-16
40015848,FI,2026-09-16
40015848,RS,2026-09-16
40016425,FI,2026-09-16
40018469,FI,2026-09-16
40021667,FI,2026-09-16
40021834,OT,2026-09-16
40021944,RS,2026-09-16
40023608,FI,2026-09-16
40023943,FI,2026-09-16
40023943,RS,2026-09-16
40024103,FI,2026-09-16
40024413,RS,2026-09-16
40024416,RS,2026-09-16
40024422,FI,2026-09-16
40024424,RE,2026-09-16
40024424,FI,2026-09-16
40024685,FI,2026-09-16
40026213,OT,2026-09-16
40026213,RS,2026-09-16
40026303,AD,2026-09-16
40026600,IN,2026-09-16
40026929,FI,2026-09-16
40027785,FI,2026-09-16
40027936,RS,2026-09-16
40028891,FI,2026-09-16
40029327,RS,2026-09-16
40029986,OT,2026-09-16
40030398,FI,2026-09-16
40030703,RS,2026-09-16
40030969,FI,2026-09-16
40031085,RS,2026-09-16
40031094,RS,2026-09-16
40031194,RS,2026-09-16
40031256,OT,2026-09-16
40031256,RS,2026-09-16
40031440,FI,2026-09-16
40031493,RE,2026-09-16
40032335,AD,2026-09-16
40032580,RE,2026-09-16
40032580,FI,2026-09-16
40034331,FI,2026-09-16
40034862,FI,2026-09-16
40034862,RS,2026-09-16
40034871,FI,2026-09-16
40035001,FI,2026-09-16
40035272,FI,2026-09-16
40035350,FI,2026-09-16
40035371,RS,2026-09-16
40036492,FI,2026-09-16
40037419,FI,2026-09-16
40037607,RS,2026-09-16
40039178,FI,2026-09-16
40039423,FI,2026-09-16
40040058,FI,2026-09-16
40045677,RS,2026-09-16
40046091,RE,2026-09-16
40046091,FI,2026-09-16
40046866,OT,2026-09-16
40047072,AD,2026-09-16
40048203,OT,2026-09-16
40048203,FI,2026-09-16
40048345,FI,2026-09-16
40049870,AD,2026-09-16
40049912,RS,2026-09-16
40050822,FI,2026-09-16
40050900,OT,2026-09-16
40051084,OT,2026-09-16
40051205,FI,2026-09-16
40051808,AD,2026-09-16
40052125,OT,2026-09-16
40052127,OT,2026-09-16
40053774,OT,2026-09-16
40053774,RS,2026-09-16
40054665,RS,2026-09-16
40055438,FI,2026-09-16
40055643,RS,2026-09-16
40056289,RS,2026-09-16
40056699,RE,2026-09-16
40056699,FI,2026-09-16
40056888,AD,2026-09-16
40056892,RS,2026-09-16
40056892,AD,2026-09-16
40056901,AD,2026-09-16
40057641,RE,2026-09-16
40058042,RS,2026-09-16
40059332,AD,2026-09-16
40059645,OT,2026-09-16
40059660,RS,2026-09-16
40059748,FI,2026-09-16
40060361,AD,2026-09-16
40060938,RS,2026-09-16
40061058,OT,2026-09-16
40061063,RS,2026-09-16
40061328,AD,2026-09-16
40061646,RS,2026-09-16
40063089,RS,2026-09-16
40063338,RS,2026-09-16
40065420,OT,2026-09-16
40065420,RS,2026-09-16
40065453,RS,2026-09-16
40067788,RS,2026-09-16
40068308,FI,2026-09-16
40068521,OT,2026-09-16
40068636,RS,2026-09-16
40068656,AD,2026-09-16
40069164,RS,2026-09-16
40070049,RS,2026-09-16
40070076,RS,2026-09-16
40070172,RS,2026-09-16
40071903,RS,2026-09-16
40072492,FI,2026-09-16
40074254,RS,2026-09-16
40074760,FI,2026-09-16
40075376,FI,2026-09-16
40075654,RS,2026-09-16
